CodProvincia;NombreProvincia;Clima
01;Azuay;Tropical húmedo
02;Bolívar;Tropical húmedo
03;Cañar;Tropical húmedo
04;Carchi;Tropical húmedo
05;Cotopaxi;Tropical húmedo
06;Chimborazo;Tropical húmedo
07;El Oro;Cálido
08;Esmeraldas;Cálido
09;Guayas;Cálido
10;Imbabura;Tropical húmedo
11;Loja;Tropical húmedo
12;Los Ríos;Cálido
13;Manabí;Cálido
14;Morona Santiago;Caliente húmedo
15;Napo;Caliente húmedo
16;Pastaza;Caliente húmedo
17;Pichincha;Tropical húmedo
18;Tungurahua;Tropical húmedo
19;Zamora Chinchipe;Caliente húmedo
20;Galápagos;Templado seco
21;Sucumbíos;Caliente húmedo
22;Orellana;Caliente húmedo
23;Santo Domingo de los Tsáchilas;Cálido
24;Santa Elena;Cálido
